time,site,sdens,lai,epload,dfw,area,temp,sal,,,,,,,
1,DC,12.3,8037,0.02,5.8,0.5,11.53431373,27.69411765,,,,,,,
1,WI,8,3928,0.11,5,0.4,12.30350877,22.04342105,,,,,,,
1,RP,7.7,2245,0.16,9.4,0.1,12.50512821,23.86858974,,,,,,,
1,NB,6.5,1593,0.09,10.6,0.26,12.95388889,17.08444444,,,,,,,
1,CB,4,1903,0.05,2.2,0.25,12.57333333,16.52533333,,,,,,,
1,BE,,,,,,11.95238095,22.18869048,,,,,,,
1,BI,,,,,,13.01031746,18.08968254,,,,,,,
1,EI,,,,,,12.58333333,25.45972222,,,,,,,
2.5,DC,14.8,9257,0.07,5.8,0.5,13.80864198,23.83580247,,,,,,,
2.5,WI,12.5,5608,0.15,5,0.4,14.86064815,21.60416667,,,,,,,
2.5,BE,7,2542,0.04,14.4,2.3,14.09444444,23.39111111,,,,,,,
2.5,EI,12.5,6246,0.03,5.4,0.72,15.19920635,21.93412698,,,,,,,
2.5,RP,10.3,4372,0.04,9.4,0.1,15.50925926,21.53641975,,,,,,,
2.5,NB,8.3,5062,0.09,10.6,0.26,16.10625,16.08680556,,,,,,,
2.5,CB,6.5,2885,0.04,2.2,0.25,15.69777778,17.90277778,,,,,,,
2.5,BI,5.5,2811,0.05,1,2.7,15.66388889,16.83680556,,,,,,,
2.5,CC,6,3576,0.02,9,0.25,15.40648148,14.38981481,,,,,,,
4,DC,12.7,7902,0.01,5.8,0.5,13.86666667,19.08888889,,,,,,,
4,WI,7.8,4611,0.08,5,0.4,16.41805556,18.08055556,,,,,,,
4,RP,8,4514,0.03,9.4,0.1,17.36944444,22.99027778,,,,,,,
4,NB,9.5,4302,0.06,10.6,0.26,20.2125,17.04861111,,,,,,,
4,CB,7.3,3562,0.02,2.2,0.25,19.34583333,16.43472222,,,,,,,
4,BE,,,,,,17.10555556,18.18148148,,,,,,,
4,BI,,,,,,18.23472222,17.25555556,,,,,,,
4,CC,,,,,,17.73,15.37888889,,,,,,,
4,EI,,,,,,15.51111111,19.96527778,,,,,,,
