species,species.names,sp.code,function,taxon,adult mobility,native,larvae,tube building,eelgrass specialisy,other notes
Alia carinata,Alia.carinata,Acar,grazer,gastropod,mobile,,,,,
Amph E (dorsal teeth),Amph.E..dorsal.teeth.,AmpE,grazer,amphipod,,,,,,
Amphipholis pugetana,Amphipholis.pugetana,Apug,grazer,echinoderm,short-range,,,,,
Amphithoe spp.,Amphithoe.spp.,Amsp,grazer,amphipod,,,,yes,,
Anaitides sp.,Anaitides.sp.,Ansp,predator,polychaete,,,,,,
Aoroides columbiae,Aoroides.columbiae,Acol,grazer,amphipod,,,,,,
Balanus spp.,Balanu.spp.,Bspp,filter feeder,barnacle,sessile,,planktonic,,,
Bittium spp.,Bittium.spp.,Bisp,grazer,gastropod,short-range,,,,,
Caprella spp.,Caprella.spp.,Cspp,grazer,amphipod,short-range,,,,yes,
Cirolana harfordi,Cirolana.harfordi,Char,predator,isopod,mobile,,,,,
Cockle,Cockle,Coc,filter feeder,bivalve,sessile,,planktonic,,,
Copepod,Copepod,Cops,grazer,copepod,short-range,,,,,
Cypricercus?,Cypricercus?,Cypr,grazer,ostracod,short-range,,,,,
Dinophilus sp.,Dinophilus.sp.,Dspp,unknown,polychaete,,,,,,
Eogammarus confervicolus,Eogammarus.confervicolus,Econ,predator,amphipod,,,,,,
Halacarid mite,Halacarid.mite,Hasp,predator,arachnid,,,,,,could be phytophagoueos or predatory
Haminoea sp.,Haminoea.sp.,Hmsp,grazer,gastropod,mobile,maybe not,,,,
Helicinus margarite,Helicinus.margarite,Mhel,grazer,gastropod,mobile,,,,,
Idotea resecata,Idotea.resecata,Ires,grazer,isopod,mobile,,,,no,
Janua pagastecheri,Janua.pagastecheri,Jpag,unknown,polychaete,sessile,maybe not,,yes,,Janua pagenstecheri
Lacuna spp.,Lacuna.spp.,Lspp,grazer,gastropod,short-range,,,,,
Leptochelia dubia,Leptochelia.dubia,Ldub,grazer,tanaid,,,,,,diet poorly known
Lottia pelta,Lottia.pelta,Lpel,grazer,gastropod,short-range,,,,,
Lyonsia californica,Lyonsia.californica,Lcal,filter feeder,bivalve,,,,,,
Monocorophium achersicum,Monocorophium.achersicum,Mach,grazer,amphipod,,no,,,,
Mytilus trossulus,Mytilus.trossulus,Mtro,filter feeder,bivalve,sessile,,,,,
Nebalia sp.,Nebalia.sp.,Nesp,predator,leptostraca,,,,,,diet unclear to me
Nematode,Nematode,Nems,unknown,worm,short-range,,,,,
Nemertea,Nemertea,Nmrt,unknown,worm,,,,,,
Nephtys sp.,Nephtys.sp.,Npsp,predator,polychaete,short-range,,planktonic,,,sand dwelling
Nereis sp.,Nereis.sp.,Ners,grazer,polychaete,short-range,,planktonic,,,
Odontosyllis,Odontosyllis,Odsp,predator,polychaete,short-range,,,,,
Olivella sp.,Olivella.sp.,Olsp,grazer,gastropod,mobile,,,,,probably biplicata
Pagarus quaylei,Pagarus.quaylei,Pqua,grazer,decapod,short-range,,,,,
Pandalidae,Pandalidae,Pasp,detritovore,decapod,,,,,,
Photis brevipes,Photis.brevipes,Pbre,grazer,amphipod,,,,,,
Phyllaplysia taylori,Phyllaplysia.taylori,Ptay,grazer,gastropod,short-range,,direct developer,,yes,
Pisaster ochraceus,Pisaster.ochraceus,Poch,predator,echinoderm,short-range,,,,,
Platynereis bicanaliculata,Platynereis.bicanaliculata,Pbic,grazer,polychaete,,,,,,
Pontogeneia rostrata,Pontogeneia.rostrata,Pros,predator,amphipod,,,,,,
Pugettia richii,Pugettia.richii,Pric,grazer,decapod,,,,,,
Pycnogonum sp.,Pycnogonum.sp.,Pspp,predator,pychnogonid,,,,,,
Solaster sp.,Solaster.sp.,Sspp,predator,echinoderm,short-range,,,,,
Strongylocentrotus sp.,Strongylocentrotus.sp.,Stsp,grazer,echinoderm,short-range,,,,,
Telmessus cheiragonus,Telmessus.cheiragonus,Tche,predator,decapod,mobile,,,,,
Tetrastemmidae,Tetrastemma sp.,Tetr,predator,polychaete,,,,,,
Thick nematode?,Thick.nematode?,Tnem,unknown,worm,short-range,,,,,
