species,species.names,sp.code,function,taxon,group,eelgrss epifauna,patch
Amph E (dorsal teeth),Amph.E..dorsal.teeth.,AmpE,grazer,amphipod,crustacean,yes,yes
Amphithoe spp.,Amphithoe.spp.,Amsp,grazer,amphipod,crustacean,yes,yes
Aoroides columbiae,Aoroides.columbiae,Acol,grazer,amphipod,crustacean,yes,yes
Caprella spp.,Caprella.spp.,Cspp,grazer,amphipod,crustacean,yes,yes
Eogammarus confervicolus,Eogammarus.confervicolus,Econ,predator,amphipod,crustacean,yes,yes
Monocorophium achersicum,Monocorophium.achersicum,Mach,grazer,amphipod,crustacean,yes,yes
Photis brevipes,Photis.brevipes,Pbre,grazer,amphipod,crustacean,sometimes,yes
Pontogeneia rostrata,Pontogeneia.rostrata,Pros,predator,amphipod,crustacean,sometimes,yes
Halacarid mite,Halacarid.mite,Hasp,predator,arachnid,other,unknown,yes
Balanus spp.,Balanus.spp.,Bspp,filter.feeder,barnacle,crustacean,sometimes,no
Cockle,Cockle,Coc,filter.feeder,bivalve,gastropod,no,no
Lyonsia californica,Lyonsia.californica,Lcal,filter.feeder,bivalve,gastropod,no,no
Mytilus trossulus,Mytilus.trossulus,Mtro,filter.feeder,bivalve,gastropod,sometimes,no
Copepod,Copepod,Cops,grazer,copepod,crustacean,yes,yes
Pagarus quaylei,Pagarus.quaylei,Pqua,detritovore,decapod,crustacean,sometimes,no
Pandalidae,Pandalidae,Pasp,detritovore,decapod,crustacean,sometimes,no
Pugettia richii,Pugettia.richii,Pric,detritovore,decapod,crustacean,yes,no
Telmessus cheiragonus,Telmessus.cheiragonus,Tche,predator,decapod,crustacean,no,no
Amphipholis pugetana,Amphipholis.pugetana,Apug,detritovore,echinoderm,echinoderm,no,no
Pisaster ochraceus,Pisaster.ochraceus,Poch,predator,echinoderm,echinoderm,no,no
Solaster sp.,Solaster.sp.,Sspp,predator,echinoderm,echinoderm,no,no
Strongylocentrotus sp.,Strongylocentrotus.sp.,Stsp,detritovore,echinoderm,echinoderm,no,no
Alia carinata,Alia.carinata,Acar,grazer,gastropod,gastropod,yes,no
Bittium spp.,Bittium.spp.,Bisp,grazer,gastropod,gastropod,yes,no
Haminoea sp.,Haminoea.sp.,Hmsp,grazer,gastropod,gastropod,yes,no
Margarites helicinus,Margarites.helicinus,Mhel,grazer,gastropod,gastropod,yes,no
Lacuna spp.,Lacuna.spp.,Lspp,grazer,gastropod,gastropod,yes,yes
Lottia pelta,Lottia.pelta,Lpel,grazer,gastropod,gastropod,yes,no
Olivella sp.,Olivella.sp.,Olsp,grazer,gastropod,gastropod,yes,no
Phyllaplysia taylori,Phyllaplysia.taylori,Ptay,grazer,gastropod,gastropod,yes,yes
Cirolana harfordi,Cirolana.harfordi,Char,predator,isopod,crustacean,sometimes,no
Idotea resecata,Idotea.resecata,Ires,grazer,isopod,crustacean,yes,no
Nebalia sp.,Nebalia.sp.,Nesp,filter.feeder,leptostraca,crustacean,sometimes,no
Cypricercus?,Cypricercus.,Cypr,grazer,ostracod,crustacean,yes,no
Anaitides sp.,Anaitides.sp.,Ansp,predator,polychaete,polychaete,no,no
Dinophilus sp.,Dinophilus.sp.,Dspp,unknown,polychaete,polychaete,no,no
Janua pagastecheri,Janua.pagastecheri,Jpag,suspension.feeder,polychaete,polychaete,yes,no
Nephtys sp.,Nephtys.sp.,Npsp,predator,deposit feeder,polychaete,no,no
Nereis sp.,Nereis.sp.,Ners,grazer,polychaete,polychaete,no,no
Odontosyllis,Odontosyllis,Odsp,predator,polychaete,polychaete,no,no
Platynereis bicanaliculata,Platynereis.bicanaliculata,Pbic,grazer,polychaete,polychaete,sometimes,no
Tetrastemmidae,Tetrastemma sp.,Tetr,predator,worm,nemertean,no,no
Pycnogonum sp.,Pycnogonum.sp.,Pspp,predator,pychnogonid,other,yes,yes
Leptochelia dubia,Leptochelia.dubia,Ldub,detritovore,tanaid,crustacean,yes,yes
Nematode,Nematode,Nems,unknown,worm,nematode,sometimes,no
Nemertea,Nemertea,Nmrt,unknown,worm,nemertean,sometimes,no
Thick nematode?,Thick.nematode?,Tnem,unknown,worm,nematode,sometimes,no
