Time,Site,Species,chao,chao.se,jack1,jack1.se,jack2,boot,boot.se,n,Fw_dist_km,Msize_m2,
1,DC,19,20.5,2.049390153,22.75,2.321771953,22.16666667,21.01591739,1.736340524,16,24.4,22980,22.16666667
1,WI,27,34.65625,7.790489829,33.5625,2.480391854,37.2375,29.952726,1.391661934,16,20.6,2645,37.2375
1,RP,19,26.65625,7.790489829,25.5625,2.833256739,29.2375,21.89335915,1.666189831,16,15.4,7213,29.2375
1,NB,23,38,15.49193338,30.5,2.984334097,35.86666667,26.24262946,1.591675587,16,10,26960,35.86666667
1,CB,22,25.36,3.625509619,27.6,2.286190427,28.77619048,24.92952272,1.805232768,15,5.8,4950,28.77619048
2.5,DC,17,17.15625,0.511902599,17.9375,0.9375,16.3625,17.77452367,1.045362829,16,24.4,22980,16.3625
2.5,WI,22,25.75,4.984350509,25.75,2.321771953,27.61666667,23.83482363,1.520311844,16,20.6,2645,27.61666667
2.5,BE,17,20.75,4.984350509,20.75,2.321771953,22.61666667,18.66464901,1.315459754,16,19.4,,22.61666667
2.5,EI,20,21.0546875,1.678074262,22.8125,2.124080683,22.17083333,21.625691,1.328442196,16,19,,22.17083333
2.5,RP,28,33.859375,7.105725368,32.6875,2.503903203,35.42916667,30.1273169,1.445294621,16,15.4,7213,35.42916667
2.5,NB,19,20.0546875,1.678074262,21.8125,1.623797632,21.17083333,20.66178036,1.174154978,16,10,26960,21.17083333
2.5,CB,19,19.625,1.239539565,20.875,1.325825215,20.175,20.20527709,1.022263481,16,5.8,4950,20.175
2.5,BI,21,23.5,3.291402943,24.75,1.875,25.8,22.8471595,1.280678975,16,5,,25.8
2.5,CC,12,12.9375,2.149613685,13.875,1.325825215,15.625,12.76147713,0.690177767,16,2.2,,15.625
4,DC,23,27.21875,4.531384696,28.625,2.296396634,30.60833333,25.6553808,1.271640154,16,24.4,22980,30.60833333
4,WI,30,41.484375,12.36106874,36.5625,2.833256739,41.05416667,32.84807938,1.629709817,16,20.6,2645,41.05416667
4,RP,26,52.25,20.11300406,33.5,3.283481384,40.5,29.00365163,1.676280104,16,15.4,7213,40.5
4,NB,18,19.875,2.503903203,21.75,2.321771953,21.98333333,19.9115695,1.400401815,16,10,26960,21.98333333
4,CB,30,53.33333333,22.65686062,39.33333333,5.050852513,46.39047619,33.8887194,2.797600394,15,5.8,4950,46.39047619
