"","species","site","Date","Sample","Time.Code2","dfw","order","area","salinity","shoot.density","fetch","abundance","TimeID","function.","taxon","group","eelgrss.epifauna"
"1","Alia.carinata","NB",2012-05-24,15,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"2","Alia.carinata","NB",2012-05-24,11,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"3","Alia.carinata","NB",2012-05-24,8,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"4","Alia.carinata","NB",2012-05-24,14,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"5","Alia.carinata","NB",2012-05-24,13,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"6","Alia.carinata","BE",2012-06-15,2,"C",9.4,7,0.12,23.5,NA,58973,0,"BE.C","grazer","gastropod","gastropod","yes"
"7","Alia.carinata","NB",2012-05-24,9,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"8","Alia.carinata","RP",2012-08-07,2,"E",5.4,5,2.41,21.1,7.9,50551,0,"RP.E","grazer","gastropod","gastropod","yes"
"9","Alia.carinata","RP",2012-07-03,15,"C",5.4,5,2.41,21.1,7.9,50551,0,"RP.C","grazer","gastropod","gastropod","yes"
"10","Alia.carinata","RP",2012-07-03,14,"C",5.4,5,2.41,21.1,7.9,50551,0,"RP.C","grazer","gastropod","gastropod","yes"
"11","Alia.carinata","DC",2012-08-03,11,"E",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.E","grazer","gastropod","gastropod","yes"
"12","Alia.carinata","RP",2012-07-03,6,"C",5.4,5,2.41,21.1,7.9,50551,0,"RP.C","grazer","gastropod","gastropod","yes"
"13","Alia.carinata","CC",2012-07-25,7,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"14","Alia.carinata","DC",2012-06-27,2,"C",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.C","grazer","gastropod","gastropod","yes"
"15","Alia.carinata","NB",2012-08-09,4,"E",1,1,11.33,15.66666667,8,68719,0,"NB.E","grazer","gastropod","gastropod","yes"
"16","Alia.carinata","DC",2012-05-28,9,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"17","Alia.carinata","BE",2012-06-15,13,"C",9.4,7,0.12,23.5,NA,58973,0,"BE.C","grazer","gastropod","gastropod","yes"
"18","Alia.carinata","CC",2012-07-25,16,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"19","Alia.carinata","CB",2012-07-05,16,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
"20","Alia.carinata","DC",2012-05-28,11,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"21","Alia.carinata","NB",2012-05-24,3,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"22","Alia.carinata","NB",2012-05-24,5,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"23","Alia.carinata","NB",2012-05-24,1,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"24","Alia.carinata","WI",2012-06-30,6,"C",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.C","grazer","gastropod","gastropod","yes"
"25","Alia.carinata","DC",2012-08-03,2,"E",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.E","grazer","gastropod","gastropod","yes"
"26","Alia.carinata","NB",2012-05-24,4,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"27","Alia.carinata","CB",2012-05-26,7,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"28","Alia.carinata","CB",2012-08-11,9,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"29","Alia.carinata","DC",2012-06-27,9,"C",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.C","grazer","gastropod","gastropod","yes"
"30","Alia.carinata","DC",2012-05-28,10,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"31","Alia.carinata","NB",2012-05-24,12,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"32","Alia.carinata","CB",2012-05-26,4,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"33","Alia.carinata","CB",2012-05-26,5,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"34","Alia.carinata","NB",2012-05-24,2,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"35","Alia.carinata","WI",2012-06-30,1,"C",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.C","grazer","gastropod","gastropod","yes"
"36","Alia.carinata","CB",2012-07-05,10,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
"37","Alia.carinata","NB",2012-08-09,3,"E",1,1,11.33,15.66666667,8,68719,0,"NB.E","grazer","gastropod","gastropod","yes"
"38","Alia.carinata","WI",2012-08-05,9,"E",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.E","grazer","gastropod","gastropod","yes"
"39","Alia.carinata","NB",2012-05-24,10,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"40","Alia.carinata","CB",2012-07-05,15,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
