site,0,11.5,23,34.5,46,57.5,69,80.5,92,103.5,115,126.5,138,149.5,161,172.5,184,195.5,207,218.5,230,241.5,253,264.5,276,287.5,299,310.5,322,333.5,345,356.5,
CC,0.04,0.04,0.05,0.05,0.06,15.8,3.21,2.63,20.6,1.67,1.57,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,46.56
BI,0.79,1.1,0.87,0.83,0.96,0.92,0.71,0.61,0.45,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.05,0.06,0.58,0.45,0.25,0.24,0.6,0.52,0.49,0.49,0.49,0.75,12.67
CB,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.05,0.46,0.8,2.84,0.05,0.05,0.06,2.67,4.09,0.02,0.02,0.02,0.02,11.59
NB,1.13,1.2,0.96,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.26,1.25,0.45,1.11,1.18,1.34,3.32,3.97,5.07,8.35,5.28,1.73,3.79,3.84,4.19,1.75,2,1.63,1.22,58.02
RP,10.5,0.62,0.28,0.25,0.72,0.25,0.28,0.35,0.37,5.03,0.26,0.17,0.17,0.17,0.18,0.2,0.2,0.2,0.2,0.24,0.17,0.09,0.09,0.1,0.17,0.17,0.25,0.35,0.35,0.35,0.53,0.56,23.82
EI,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.15,0.16,0.35,0.59,1.36,1.2,50,0.2,4.37,16.29,4.44,4.03,0.02,0.02,0.02,0.02,0.02,0.02,84.1
BE,0.06,0.07,0.08,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,4.14,3.45,3.65,4.53,4.65,5.6,2.58,2.39,0.68,0.3,0.15,0.31,0.66,0.04,0.03,0.02,0.02,0.03,0.04,0.04,0.04,33.94
WI,0.05,0.07,2.42,3.02,6.14,10.32,5.35,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3.34,4.11,1.06,0.75,0.83,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.04,0.04,0.04,0.04,0.04,38.38
DC,0.2,0.2,0.23,0.25,0.26,0.26,0.27,0.28,0.02,0.31,0.31,0.32,0.4,0.29,0.34,3.65,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,9.55,0.8,0.4,0.2,20.44
