Site,Date,Buffalo sculpin,Copper rockfish,Shiner perch,Crescent gunnel,Kelp perch,Padded sculpin,Pile perch,Smoothhead sculpin,Unidentified sculpin,Kelp greenling,Rockweed cunnel,Speckled sanddab,Bay pipefish,English sole,Fluffy sculpin,Plainfish midshipman,Striped seaperch,Staghorn sculpin,Three spine stickleback,Coho salmon,Penpoint gunnel,Saddleback gunnel,Rock sole,Silverspotted sculpin,Sockeye salmon,STFL
CB,June 3 2012,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB,June 8 2012,0,0,39,2,30,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,June 5 2012,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EI,June 7 2012,0,0,38,1,13,0,2,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,June 6 2012,1,2,24,1,0,8,1,3,13,2,0,3,4,2,1,42,1,11,1,0,0,0,0,0,0,0
WI,June 5 2012,0,0,19,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
SA,June 4 2012,4,0,65,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
