species,function,taxon,adult mobility,native,larvae,tube building,eelgrass specialisy,other notes
Alia carinata,grazer,gastropod,mobile,,,,,
Amph E (dorsal teeth),grazer,amphipod,,,,,,
Amphipholis pugetana,grazer,echinoderm,short-range,,,,,
Amphithoe spp.,grazer,amphipod,,,,yes,,
Anaitides sp.,unknown,polychaete,,,,,,
Aoroides columbiae,grazer,amphipod,,,,,,
Balanus spp.,filter feeder,barnacle,sessile,,,,,
Bittium spp.,grazer,gastropod,short-range,,,,,
Caprella spp.,filter feeder,amphipod,short-range,,,,yes,
Cirolana harfordi,predator,isopod,mobile,,,,,
Cockle,filter feeder,bivalve,sessile,,,,,
Copepod,grazer,copepod,short-range,,,,,
Cypricercus?,unknown,ostracod,short-range,,,,,
Dinophilus sp.,unknown,polychaete,,,,,,
Eogammarus confervicolus,grazer,amphipod,,,,,,
Halacarid mite,unknown,arachnid,,,,,,could be phytophagoueos or predatory
Haminoea sp.,detritovore,gastropod,mobile,maybe not,,,,
Helicinus margarite,omnivore,gastropod,mobile,,,,,
Idotea resecata,grazer,isopod,mobile,,,,no,
Janua pagastecheri,unknown,polychaete,sessile,maybe not,,yes,,Janua pagenstecheri
Lacuna spp.,grazer,gastropod,short-range,,,,,
Leptochelia dubia,,tanaid,,,,,,
Lottia pelta,grazer,gastropod,short-range,,,,,
Lyonsia californica,,bivalve,,,,,,
Monocorophium achersicum,grazer,amphipod,,no,,,,
Mytilus trossulus,filter feeder,bivalve,sessile,,,,,
Nebalia sp.,detritovore,leptostraca,,,,,,diet unclear to me
Nematode,unknown,worm,short-range,,,,,
Nemertea,unknown,worm,,,,,,
Nephtys sp.,predator,polychaete,short-range,,planktonic,,,sand dwelling
Nereis sp.,predator,polychaete,short-range,,planktonic,,,
Odontosyllis,unknown,polychaete,short-range,,,,,
Olivella sp.,grazer,gastropod,mobile,,,,,probably biplicata
Pagarus quaylei,detritovore,decapod,short-range,,,,,
Pandalidae,detritovore,decapod,,,,,,
Photis brevipes,grazer,amphipod,,,,,,
Phyllaplysia taylori,grazer,gastropod,short-range,,,,yes,
Pisaster ochraceus,predator,echinoderm,short-range,,,,,
Platynereis bicanaliculata,unknown,polychaete,,,,,,
Pontogeneia rostrata,grazer,amphipod,,,,,,
Pugettia richii,detritovore,decapod,,,,,,
Pycnogonum sp.,predator,pychnogonid,,,,,,
Solaster sp.,detritovore,echinoderm,short-range,,,,,
Strongylocentrotus sp.,detritovore,echinoderm,short-range,,,,,
Telmessus cheiragonus,omnivore,decapod,mobile,,,,,
Thick nematode?,,worm,short-range,,,,,
