,(Intercept),TimeC,TimeE,Fw_dist_km,TimeC:Fw_dist_km,TimeE:Fw_dist_km
238,5.44E-14,-1.08E-13,-26.81667384,2.14E-15,-1.88E-15,2.590874325
253,6.86E-14,-6.46E-14,-11.26388381,-2.52E-15,1.59E-15,1.676607091
232,3.05E-15,-1.47E-14,-14.53173136,5.76E-16,-1.30E-15,1.403973136
235,2.05E-14,-2.55E-14,-13.52832546,1.62E-15,-3.18E-15,1.307029772
230,-7.54E-15,-7.83E-15,-13.14865836,3.58E-15,-4.12E-15,1.270348499
236,7.83E-15,-2.35E-14,-12.28084785,1.03E-15,-1.45E-15,1.186505589
234,4.13E-14,-4.50E-14,-10.35539329,1.17E-16,-1.16E-15,1.000479134
233,-9.31E-15,-3.92E-15,-8.294343341,2.10E-15,-2.17E-15,0.801352223
252,1.91E-16,-1.96E-15,-3.08675546,4.78E-16,-7.60E-16,0.459457517
275,3.97E-15,-1.47E-14,-9.663883362,3.17E-16,-4.34E-16,0.405894068
271,5.36E-15,-1.47E-14,-9.081129263,4.22E-16,-5.43E-16,0.381417735
279,2.09E-15,-4.90E-15,-9.008285001,-3.13E-16,-3.62E-17,0.378358193
285,2.23E-15,-3.92E-15,-9.008285001,-2.42E-16,-1.45E-16,0.378358193
228,4.36E-15,-6.85E-15,-3.873933573,4.32E-16,-7.23E-16,0.374277403
274,7.18E-15,-2.15E-14,-8.789752214,-3.07E-16,5.06E-16,0.369179568
281,-2.00E-15,-7.83E-15,-8.534797295,3.96E-16,-3.62E-16,0.358471172
277,-2.88E-15,-2.45E-15,-7.842776802,6.54E-16,-9.77E-16,0.329405526
273,7.34E-15,-1.37E-14,-7.551399753,-3.74E-16,1.45E-16,0.317167359
276,1.28E-15,-1.08E-14,-7.369289097,4.44E-16,-5.06E-16,0.309518505
283,8.40E-17,-4.41E-15,-6.895801391,-2.52E-18,-1.45E-16,0.289631484
272,8.06E-15,-1.52E-14,-5.985248111,-6.59E-17,1.45E-16,0.251387213
79,4.903630891,-4.903630891,-4.903630891,-0.244002887,0.244002887,0.244002887
278,-4.85E-15,0,-5.766715324,4.76E-16,-6.51E-16,0.242208588
280,-2.22E-15,-4.41E-15,-5.584604668,3.98E-16,-4.70E-16,0.234559734
286,-2.71E-15,-2.94E-15,-5.584604668,4.69E-16,-5.79E-16,0.234559734
229,1.68E-15,-1.59E-15,-1.921359934,1.87E-16,-4.52E-16,0.185630856
284,5.04E-15,-6.12E-15,-4.018453027,-7.70E-17,-1.27E-16,0.168779587
231,3.15E-15,-3.06E-15,-1.541692837,1.57E-16,-2.89E-16,0.148949583
