Site,Time,Abundance,Log_Abundance,Simpson,Richness,Rarefied_Richness,ENS,log_ENS,Fw_dist_km
DC,A,16,1.204119983,0.6171875,3,3,2.612244898,0.41701389,24.4
DC,A,72,1.857332496,0.228780864,6,12,1.296648324,0.112822203,24.4
DC,A,152,2.181843588,0.533760388,7,7,2.144819903,0.331390831,24.4
DC,A,45,1.653212514,0.625185185,7,7,2.66798419,0.426183252,24.4
DC,A,90,1.954242509,0.640246914,11,13.5,2.779684283,0.443995471,24.4
DC,A,59,1.770852012,0.794599253,8,8.5,4.868531469,0.687397982,24.4
DC,A,55,1.740362689,0.666446281,6,6,2.998017839,0.476834213,24.4
DC,A,67,1.826074803,0.429939853,7,7,1.75420086,0.24407932,24.4
DC,A,84,1.924279286,0.516439909,7,7.333333333,2.067995311,0.31554955,24.4
DC,A,70,1.84509804,0.646530612,9,10,2.829099307,0.451648192,24.4
DC,A,48,1.681241237,0.474826389,6,6,1.904132231,0.279697104,24.4
DC,A,85,1.929418926,0.668788927,9,9.333333333,3.019222733,0.479895153,24.4
DC,A,69,1.838849091,0.368409998,4,5,1.58330562,0.199564753,24.4
DC,A,59,1.770852012,0.706693479,7,7.333333333,3.409402547,0.532678281,24.4
DC,A,53,1.72427587,0.613741545,7,7.333333333,2.588940092,0.413122001,24.4
DC,A,60,1.77815125,0.602777778,9,9.2,2.517482517,0.400966463,24.4
WI,A,13,1.113943352,0.650887574,5,5.333333333,2.86440678,0.457034693,20.6
WI,A,10,1,0.74,5,5.333333333,3.846153846,0.585026652,20.6
WI,A,7,0.84509804,0.734693878,5,11,3.769230769,0.576252728,20.6
WI,A,70,1.84509804,0.808163265,11,12,5.212765957,0.717068226,20.6
WI,A,35,1.544068044,0.773877551,12,15.75,4.422382671,0.64565632,20.6
WI,A,19,1.278753601,0.891966759,11,13,9.256410256,0.966442595,20.6
WI,A,15,1.176091259,0.862222222,10,17,7.258064516,0.860820824,20.6
WI,A,24,1.380211242,0.885416667,11,12.5,8.727272727,0.940878548,20.6
WI,A,19,1.278753601,0.831024931,8,14,5.918032787,0.772177367,20.6
WI,A,35,1.544068044,0.831020408,10,11,5.917874396,0.772165743,20.6
WI,A,17,1.230448921,0.906574394,12,15.5,10.7037037,1.029534078,20.6
WI,A,107,2.029383778,0.778233907,12,14,4.509255612,0.654104854,20.6
WI,A,10,1,0.78,7,22,4.545454545,0.657577319,20.6
WI,A,3,0.477121255,0.444444444,2,2,1.8,0.255272505,20.6
WI,A,13,1.113943352,0.792899408,6,6.333333333,4.828571429,0.68381866,20.6
WI,A,22,1.342422681,0.623966942,8,11.33333333,2.659340659,0.424773974,20.6
RP,A,33,1.51851394,0.565656566,7,8.5,2.302325581,0.362166739,15.4
RP,A,34,1.531478917,0.352941176,5,8,1.545454545,0.189056236,15.4
RP,A,29,1.462397998,0.673008323,5,5,3.058181818,0.485463302,15.4
