Idotea resecata,Phyllaplysia taylori,Caprella spp.,Aoroides columbiae,Photis brevipes,Eogammarus confervicolus,Pontogeneia sp.,Amph E (dorsal teeth),Monocorophium achersicum,Lottia pelta,Leptochelia dubia,Lyonsia californica,Platynereis bicanaliculata,Dinophilus sp.,Nephtys sp.,Anaitides sp.,Nereis sp.,Poly I,Balanus spp.,Pycnogonum sp.,Pugettia richii,Mytilus trossulus,Nematode,Nebalia sp.,Pagarus quaylei,Lacuna spp.,Janua pagastecheri,Olivella sp.,Cirolana harfordi,Halacarid mite,Nemertea,Amphithoe spp.,Amphipholis pugetana,Pandalidae,Pisaster ochraceus,Strongylocentrotus sp.,Solaster sp.,Cypricercus?,Haminoea sp.,Bittium spp.,Thick nematode?,Copepod,Telmessus cheiragonus,Helicinus margarite,Cockle,Alia carinata
35,31,622,264,31,13,10,0,24,0,3,0,18,4,0,3,4,2,0,0,2,0,0,0,1,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,1,6,31,29,15,56,1,5,1,24,28,57,0,0,0,5,1,0,1,0,4,58,1,2,13,0,0,11,3,0,37,0,0,0,1,0,3,0,0,0,9,0,0,0,0
21,34,614,71,3,1,2,1,1,0,13,1,99,0,0,0,0,0,0,0,0,0,0,0,1,4,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
393,0,15,5,19,1,6,0,4,0,19,4,15,0,0,0,0,1,1,0,0,43,3,1,0,8,0,0,3,60,1,1,0,0,0,0,0,0,0,0,0,67,0,0,0,0
111,0,28,0,2,2,2,0,1,3,9,2,11,0,0,1,0,1,0,220,0,1,0,0,0,1,6,2,0,5,0,4,0,0,0,0,1,0,0,0,0,7,0,0,0,0
38,6,7587,346,168,2,14,5,18,0,16,0,24,0,0,0,0,0,0,0,4,10,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
85,12,178,2,24,16,5,5,6,2,0,1,41,0,0,0,0,0,0,30,1,784,1,0,0,44,10,0,4,4,0,10,0,0,0,0,0,58,0,0,0,6,0,0,0,0
64,0,18,22,11,0,3,0,5,1,152,10,2,0,1,0,0,0,0,3,0,1245,347,0,0,3,0,0,0,82,0,0,0,0,0,0,0,20,0,0,6,2,0,0,0,0
111,10052,7821,541,55,1,0,0,92,6,17,1,134,0,0,2,0,0,1,2,6,31,2,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,6,2,13,0,0
113,78,1815,99,98,4,46,1,31,7,1,110,603,0,0,1,0,0,5,41,3,5727,0,0,1,38,636,1,8,0,1,40,0,2,2,0,0,0,0,0,0,3,0,85,1,0
60,0,75,12,75,0,4,0,63,3,330,11,82,0,1,0,5,0,3,111,0,639,254,1,0,10,0,1,0,26,5,0,1,1,0,0,1,19,1,12,1,17,0,0,2,0
3,1789,1311,79,44,6,3,1,0,0,0,37,1119,0,0,0,0,0,4,2545,0,1702,1,0,0,2,0,0,0,22,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0
17,0,9,1,0,3,0,30,8,0,5,1,0,0,0,0,0,0,0,8,0,446,9,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,3,7,1,2,9,28,14,4,173,2,12,0,0,0,0,0,0,1,0,319,478,0,1,19,0,0,0,511,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,7
28,9,1339,16,32,12,6,92,0,0,6,0,41,0,0,0,0,0,0,1,0,27,0,0,0,22,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
